rating,review,,,,,,,,,
1,"""If you have a subpar product, market it as 'unique.'""

I made a regrettable decision to visit Trezoro for dessert with my family. We arrived around 10:45 PM on 06/07/2024 and ordered a hazelnut frappe coffee, hazelnut cheesecake, and a chocolate pastry.

Things were fine until we tasted the star dish of the night, the “Chocolate Pastry”...

The chocolate pastry was so stale that even the chocolate tasted sour. I called a staff member over to complain and received one of the strangest responses: “Sir, the beauty of Trezoro is that everything here is served differently.” I had to assertively explain that I ordered a simple chocolate pastry, I have visited many places, and chocolate should never taste sour unless there's an issue. After persistent complaints, he finally agreed to check the pastry and, by the grace of God, confessed that the pastry was indeed stale.

Here's the saddest part. They pulled out the magic wand that almost all eateries do: they refused to give me the bill and started arguing that they couldn't charge me because their service didn't meet my expectations. Here are my observations:

1. Every customer is not a freeloader. They come to your establishment to have a good time and are prepared to pay for it. Instead of making them feel like freeloaders, provide the dining experience they seek.
2. By waiving the bill, they incurred multiple losses. They lost the food cost to prepare the items. Only one dish had an issue, so they could have removed that item from the bill. They didn’t because it wasn’t coming out of their (staff’s) pocket.
3. They inadvertently promoted a freeloading culture by implying that one could argue about the food or service to get free items.
4. They lost a potential returning customer due to unnecessary arguments at multiple points.

Nothing is perfect, but that doesn't mean feedback should be ignored or easy escape routes should be taken when faults are found.

My only takeaway from yesterday’s visit is that I now have to convince my young child, who loves chocolate pastries, that not all chocolate pastries are bad.",,,,,,,,,
5,"It’s mix veg and non veg restaurant

French fries - 4/5

Truffle treasure pizza - 5/5 must try

Napolis whispering pesto pizza - 5/5 must try

Zesty berry pilaf - 5/5

Panner steak - 4/5

Roasted  vegetables lasagna - 5/5

Broccoli and truffle herb rice - 3/5

Farm house pizza - 5/5

Cottage cheese burger - 5/5",,,,,,,,,
5,"Trezoro: A hidden gem in Surat! The Spaghetti Farmhouse was incredible, and the Tiramisu was to die for. The ambiance is perfect for a romantic evening. Don't miss this fantastic Italian restaurant!",,,,,,,,,
5,"Nestled in the heart of the city, this charming cafe is a hidden gem that captivates both locals and visitors alike. From the moment you step inside, the warm ambiance and inviting aroma of freshly baked cookies envelop you in a comforting embrace. The attentive staff members, with their genuine smiles, add a personal touch to your dining experience.

The menu boasts an impressive array of culinary delights, from artisanal pastries to hearty brunch options. Each dish is a masterpiece, carefully crafted with a perfect balance of flavors and presented with an artistic flair. Whether you're a coffee connoisseur or simply seeking a delightful meal, the expertly brewed beverages and delectable treats here are sure to satisfy your cravings.

The attention to detail extends to the decor, creating an atmosphere that effortlessly blends vintage charm with contemporary elegance. The cozy corners and stylish furnishings invite you to linger, making it an ideal spot for both intimate conversations and solitary contemplation.

In conclusion, It's more than a place to enjoy a meal; it's an immersive experience that leaves you with a lingering sense of contentment and a desire to return.",,,,,,,,,
4,"They have prepared/created each and every item in the menu which can be felt in minute details in the preparation of the food.
I was blown away by the fact that they grow some of the ingredients in house, do not forget to ask about these home grown ingredients. The ambience of the place is welcoming for whole family, group of friends as well as for couples on their first date. Eat whatever you like, you will enjoy it but don’t miss the rose tart….
Any time of the day and any day of the week is perfect to visit this place. Parking is not a problem as they have valet parking.",,,,,,,,,
5,"If you’re looking for a delightful cafe experience in the Piplod area, Trezoro Cafe is an absolute must-visit. From the moment you step in, you’re welcomed by an excellent ambiance that perfectly blends modern chic with cozy comfort. The decor is stylish yet inviting, making it an ideal spot for anything from a casual coffee date to a more formal gathering.

The food at Trezoro Cafe is nothing short of exceptional. Each dish is crafted with care and precision, offering a burst of flavors that will leave your taste buds craving for more. A standout item on their menu is the Nutella Croissant. This delectable treat is a perfect blend of flaky pastry and rich Nutella, making it an irresistible choice for anyone with a sweet tooth.

Overall, Trezoro Cafe excels in both ambiance and culinary offerings. Whether you’re a local or just passing through Piplod, this cafe is definitely worth a visit.",,,,,,,,,
5,"We visited this place for lunch and had an amazing experience!

✨ Starters: We started with Peri Peri French Fries and they were absolutely delicious! 🔥

🍕 Main Course: We ordered the Cottage Cheese Nepolian Pizza, and I must say, it was next-level! The thin crust was perfectly crisp, and the flavors were just incredible. Along with that, we tried the Green Onion Mac & Cheese Pasta, which was super creamy and flavorful.

🍰 Desserts: The highlight of our meal was the Tiramisu—one of the best I’ve had in Surat! We also tried the **Dark Chocolate Raspberry Pull Me Up Dessert**, and it was simply divine. A must-try for chocolate lovers! 🍫😍

🍹 Drinks: The Cranberry Mojito was super refreshing and had the perfect balance of flavors.

✨ Ambience & Pricing: The vibe of the place is amazing, and though the cost is slightly higher than other cafes, it's totally worth it! Highly recommend visiting with your loved ones. ❤️

#FoodieAdventures #MustTry #SuratEats #PizzaLover #Foodgasm #DeliciousBites #CafeVibes #FoodReview",,,,,,,,,
4,"Very beautiful place, Food is good too. I must say they have created very good atmosphere and very friendly & suggestive staff.",,,,,,,,,
2,"I visited Trezero recently to celebrate a special birthday surprise for my friend. Honestly, I had some expectations since they charged me around ₹1000 for the decoration, but it didn’t really feel worth it.

The decoration included only rose petals, used candles, and a few battery-operated candles. For the price, I was expecting something more thoughtful and creative. It looked decent, but not special.

As for the food – the dessert was the best part of the evening. The pizza was okay, but the nachos and garlic bread didn’t taste fresh or flavorful. I really feel the food could’ve been better, especially for a celebration setup.

Another thing I noticed was the staff constantly looking at us while we were enjoying our moment. It made us feel a little uncomfortable, as if we were being watched the whole time. Really not the experience we expected.",,,,,,,,,
5,"Beautiful place with lovely decor and lovelier food! It's quite nice to visit places in Surat with great options that aren't strictly vegetarian. We had the Chicken Tacos, Calabrese Paneer Canapes, Shroom Bombs and the Truffle Treasure Neopolitan Pizza. For desserts, we had the Coconut & Mango Panna Cotta and Tiramisu Cookie. We also tried the Full Bloom & Brazilian Lemonade Beverages. The Brazilian Lemonade is super refreshing and a must dry if you like sour drinks! All of these were really great, and the portion sizes of all, especially the pizza, was excellent. The bakery also has lovely macrons and eclairs. Both are the best I've had in Surat so far!
Would definitely love to visit Trezoro again soon!",,,,,,,,,
5,"Trezoro Cafe, the first thing that struck me was the warm and inviting ambiance 😍. The decor is a perfect blend of modern and rustic, with comfortable seating options for both individuals and groups. Whether you're looking for a cozy corner to work in or a place to catch up with friends💑, Trezoro has you covered.
.
.
Trezoro Cafe in Piplod is a true culinary treasure. From the inviting ambiance to the mouthwatering food and exceptional service, it offers an all-around fantastic dining experience. Whether you're a local resident or just passing through, I highly recommend paying a visit to Trezoro. You won't be disappointed.

This cafe has quickly become a personal favorite, and I can't wait to return to explore more of their menu offerings. Kudos to the team at Trezoro for creating such a wonderful dining destination in Piplod.",,,,,,,,,
5,This is must Visit Place for Non Veg Lovers. We had Lamb Lasagna Half And Half Two types of Chicken Pizza and A Mocktail. The service was Superb. Ambiance was all to gather different  and Pleasing.,,,,,,,,,
1,"While the café impresses with its chic ambiance, the culinary experience leaves much to be desired. I ordered the red sauce pasta, requesting it to be spicy and cheesy. What arrived was underwhelming-tangy to the point of imbalance (70% tangy, 30% mildly spicy), with no trace of the promised cheesiness. The tomatoes were noticeably half-cooked, lending an unpleasant texture.

Portion size was another disappointment- barely enough to fill a medium bowl. Considering the steep pricing, the meal offered poor value both in taste and quantity. A visually appealing space cannot mask the lack of attention to flavor and execution.",,,,,,,,,
5,"The ambiance is so good. You can go with your loved ones. You can chill with friends and family. The food taste is just amazing. The food presentation is so good. Fine crockery, lift is available if you have senior citizens with you. The overall experience is amazing. You must try their Pistachio ice cream. It's so delicious 😋🤤.",,,,,,,,,
5,"From South Africa, loved the lamb burger! Must try! From service to food all was
Amazing! Thank you to Kartik!

Aside from their main meals- their coffee and desserts are to die for! I returned for seconds!",,,,,,,,,
2,"I visited Trezoro today with high expectations- thought of it being very professional and unlike other Surat cafes.
However, my experience wasn’t that great- the ambiance no doubt is amazing! But the service and food is really average and overpriced tbvh.
I ordered butter garlic chicken and Pesto pasta. The portion was meager. Not enough for 3 people.
On top of that the chicken was really oily and salty.
Last but not least the waiting time was just too long. We waited for more than 30 minutes for pasta to arrive and after 15 minutes our second dish arrived ( it’s around 1 PM when there wasnt any rush)
Also the parking guy wasn’t available at that time.
This is my honest review- no hate to them but please keep these points in mind when going there.",,,,,,,,,
3,"I went there with family today. Overall experience was not bad. But it could have been better.

Their menu is designed to look like a news paper. I liked that novelty. The choices were also unique. I wish more places go towards being authentic than pleasing every one.

We ordered nachos as appetizers, veg burger for the kids, mushroom stroganoff for the missus and I to share and Komboucha for me and Mojito for the missus to drink.

Drinks were served first. They did not have classic Komboucha so I had to order flavoured Ginger and thyme Komboucha. It wasn't bad either, but I prefer the classic one. It was a little bit too sour, but still better than any other place I have tried in Surat. When I brew it at home, I do not let mine get that sour.

Then they brought the nachos. Kids found them too hot (spicy) so I asked the server for melted cheese on the side so that they could dip it to mellow. The server said cheese on the side is chargeable. I was taken aback because it was not a road side food truck but a fine dine restaurant. Since when such requests need the servers to announce to guests if something is chargeable? I was ok with the charges so they then brought a small bowl of melted cheese for my kids. They did not charge us in the end for this so I assume that staff member previously worked at a cheaper restaurant and isn't trained well.

Then they brought our main dishes. Mushroom stroganoff was really good. All of us enjoyed it. Even my daughter who is not a big fan of mushrooms, ate part of it.

The burger was served with fries, but they had some kind of spice sprinkled on it. Again, we requested to replace our spiced fries for plain fries for kids' sake. The manager questioned why we did not inform them at the time of placing the order that we did not want our fries spiced. Well, yes we missed that but they saw the kids with us and could have enquired as this could not be the first time they had this issue. My wife was frustrated by their accusatory tone and replied in kind. I was ok to pay extra for plain fries. They were nice enough to bring plane fries without an extra charge finally. The buns were soggy and my kids did not eat it. We ate a little but left it as it was too soggy for us too. This is also one of the factors why my kids liked the mushroom dish.

Our total bill was about 2200, which is not that expensive but they could do better with their service.",,,,,,,,,
5,"Awesome place to have breakfast.
Make sure to visit early on empty stomach!

Guacamole Burrata Sourdough is must! With fresh juices!",,,,,,,,,
5,Ek dum #1! Love the rooftop access and room for private parties. Able to host large gatherings and fresh tasty offerings from the talented chefs in the kitchen. Don’t forget to try the amazing desserts!!!,,,,,,,,,
2,"Not worth the hype.  Didn't liked the dining experience at all. Not recommended at all.

Overpriced and items were not upto the mark.

We ordered paneer steak, tuscan cauliflower,  veg lasagne,  crossiants and kambucha.

Didnt liked anything except paneer steak. Worst experience 😪",,,,,,,,,
5,"A cozy cafe with delicious food, friendly staff, and a welcoming ambience. The service is attentive, the menu is well-crafted, and the atmosphere makes it a perfect spot for relaxing or catching up with friends. Highly recommended!",,,,,,,,,
5,I just landed in Surat yesterday and I found a gem here!,,,,,,,,,
4,Qiest a good one. Ambience was quiet unique.  & roof top area was really aesthetic. Food was yummy & service was also good.,,,,,,,,,
5,"Fantastic spread of menu, cosy ambience and delicious food,
Definitely worth a few more visits",,,,,,,,,
1,"So tangy that it might as well have been stale and bad! Lasagna was like a bread at the centre floating in marinara sauce, eating lasagna felt like chewing mulch … Chipotle sauce felt like buttermilk … i don’t know if everything else is good but anything with chipotle sauce and especially lasgna GOD NO! Definitely not worth the money..",,,,,,,,,
5,Excellent place in surat! To visit! If u are look for an amazing ambiance! N a peaceful place to have food with ur loved ones it is apt! I loved everything here!,,,,,,,,,
5,"This place went beyond our expectations, I could dedicate a whole visit to this place just for it's desserts. I highly recommend it's hot chocolate and koreon potato sandwich.",,,,,,,,,
3,Some how I felt the quality of garlic was bad. Maybe you can try peeling the garlic inhouse for better flavour. Rest the dessert was very good.,,,,,,,,,
5,"Trezoro Cafe, located in the heart of Piplod has a very warm and inviting ambiance 😍. The decor is a perfect blend of modern and rustic, with comfortable seating options for both individuals and groups. Whether you're looking for a cozy corner to work in or a place to catch up with friends💑, Trezoro has you covered.

We ordered Basil and Tomato Pizza & Calabrese and Paneer Canape with an Affogato. Must say the pizza was so mouth watering and was amazingly cooked. I wouldn't recommend Canape as it tasted very okayish.

Overall the dining experience with the food and service was decent enough. Would definitely suggest to try the cuisine once.",,,,,,,,,
4,Good food with asthetic ambience good quantity of food. Overall good,,,,,,,,,
4,"Good environment, food is also good, like the creative newspaper style menu, but my order was too late. Try to focus on that... Overall it was good experience",,,,,,,,,
5,One of the most magnificent cafe I've visited  ever. The staff is also very kind and friendly. Would love to visit again for some delights 😊,,,,,,,,,
5,Food and vibes are amazing. Their Nutella cake is the best. The service is quick.,,,,,,,,,
1,"I didn't I the place interior and food
World worst pizza and huge charges
They don't even have sauses
1990/- for 2 shakes and 1 sandwich and 1 pizza
And the worst part is we ask for best pizza so basically there best is worst and only pizza cost 900/- for nothing
Cheese on pizza is like curd (dhai)
If anybody want to eat something there then don't go there
But for beverages can try for once",,,,,,,,,
5,"Prepare to embark on a sensory journey at Trezoro, where exquisite interior design and delectable cuisine converge to create an unparalleled dining experience.

The moment you step inside, the ambiance of Trezoro captivates with its tasteful decor. From cozy corners adorned with plush furnishings to the enchanting play of warm and cool tones, every detail contributes to an atmosphere that is both chic and inviting. The thoughtful use of natural light adds a touch of warmth, making it an ideal spot for both intimate conversations and solo reflection.

The menu at Trezoro is a culinary masterpiece, boasting a diverse range of dishes that cater to various palates. The fusion of flavors and creative presentation elevate each dish to a gastronomic delight. The attention to quality ingredients is evident, making every bite a celebration of taste.

The staff's passion for food is matched only by their commitment to exceptional service. They navigate the menu with ease, offering insightful recommendations and ensuring a seamless dining experience. The personalized touch creates an atmosphere that goes beyond mere customer service – it feels like a welcoming extension of home.

The coffee and dessert selections deserve a special mention, as they elevate the overall dining experience. From artisanal brews to decadent pastries, Trezoro has mastered the art of satisfying even the most discerning sweet tooth.

In conclusion, Trezoro is not just a cafe; it's an immersive journey for the senses. Whether you're a food connoisseur or someone seeking a haven of aesthetic delight, this cafe seamlessly blends style and flavor to create an experience that lingers long after you've left.",,,,,,,,,
5,Awesome experience and amazing ambience. Loved the food and the hospitality of the staff.,,,,,,,,,
5,"Went for their Sunday breakfast. If you want to try something else than usual, you can definitely visit.",,,,,,,,,
5,"I loved the food, especially the Neopolitan pizza. The staff were super helpful and endearing. The music was rocking. A rock-solid dining place.",,,,,,,,,
5,"The cafe offered excellent service, a pleasant ambiance, and a variety of amenities. The menu stood out with unique dishes that were hard to find elsewhere in Surat.",,,,,,,,,
5,"Bobby bhai fed us like family and it turned into a fulfilling day for us..
Majaa aavi gai guys 🥂",,,,,,,,,
5,"One of the best places in Surat with a graceful, minimalist interior. Color palettes used are beautiful!
Food is served fresh and of the highest quality. Staff is very polite. It is a must visit place of Surat!",,,,,,,,,
5,Staff is very polite. Food is very authentic and well cooked. Would love to visit again!,,,,,,,,,
5,"Trezoro: a treasure box filled with the most exquisite gems curated by ‘sa-sha’. It has a very aesthetic and cozy ambience, a delicious and unique taste, and comforting services. Basically, it’s a mini Europe with homely vibes brought to you.",,,,,,,,,
5,"The food is authentic European style. The pepperoni pizza was amazing. Beautiful place, very cute and aesthetic.",,,,,,,,,
5,"Trezoro has become one of those places I keep coming back to — and somehow, it always feels a little different in the best way. The Neapolitan pizza is seriously good (that crust!), and their desserts hit the sweet spot without being too heavy. Even the coffee is on point — smooth, rich, and clearly made with care. Great vibe, great staff, and just a solid all-round experience every time.",,,,,,,,,
5,"As the name “Trezoro” itself suggests Treasure in Italian, the ambience, the food and the vibe are treasures unless one experiences it. Trezoro is one of the restaurants which will be known for its uniqueness and sublime dine-in experience. I am certain that people will step in and have a great time.

Best wishes to the wonderful creators, Sagar and Shahaan. Kudos to them for keeping it real. 🤝",,,,,,,,,
5,"Loved all bakery items. Food is authentic 🫰🏻
The trezoro team is really friendly and always let customers feel welcomed.",,,,,,,,,
5,Great food highly recommended only service little bit slow else best european style fine dine,,,,,,,,,
2,The food was pleasant to eyes but not to the tastebuds!,,,,,,,,,
5,I love the vibes of this cafe…I really recommend this place…it’s owner also a kind person…he gave birthday complimentary dessert to my friend,TRUE,,,,,,,,
5,Best service and humble behaviour. Food also have delicious taste but high music volume disturbing to talk each other and headache.,,,,,,,,,
5,"The food was amazing and it was giving authentic taste , and service was so good",,,,,,,,,
5,Perfect place to have tasty food with good ambience. Suggest to visit once experiencing the best with friendly team.,,,,,,,,,
5,Had amazing experience! Food and ambience was amazing.,,,,,,,,,
4,"They have awesome and fancy menu available with them, but the issue is few of the food options are not healthy. They have provided the grill food into the deep fry which is quite not good for health. Anyway, this cafe also promotes about healthy food which is quite contradicting as well. We ordered pizza which has the nice taste, the dough was perfect and the crust was well done.

Rest I recommend to improve their menu and food preparation methods",,,,,,,,,
3,The ambience is good and the atmosphere is also good even though the service is good and fast but honestly not satisfied with the food. Not happy with the food this cafe is only for ambience not for food. This whole cafe have some many photogenic spots but honestly the food is not worth it according to many.,,,,,,,,,
5,Bobby gave us an excellent service. I truly enjoyed thanks to him. Food came fast and he was attentive to all the instructions given. Thank you Bobby!,,,,,,,,,
5,It is a wonderful cafe/restaurant with a fine dine experience. The cafe spans 3 floors with vintage decor and wabi sabi style serveware. It has excellent cafe experience as it is open at 11:30 am unlike other cafes here in Surat. Specialty coffee with craft croissants and other desserts will make your cafe experience enjoyable. Their dinner menu is also great. Ambience is perfect to wind down after a busy day.,,,,,,,,,
5,"Delicious food, good service and great ambience",,,,,,,,,
5,Amazing continental food. Truly world class. Roast lamb was exceptional.,,,,,,,,,
5,The croissant was fluffy and with amazing pistachio filling and caramel eclair was also good. Value for money and must try bakery products.,,,,,,,,,
5,"Food was so good, but due to rush hour you may find lack of attendance from hotel staff. Must Visit place",,,,,,,,,
5,"One of the best cafes in Surat with good food, ambience polite staff. 🥂",,,,,,,,,
5,"Trezoro Restaurant and Cafe offers an exceptional dining experience with a warm ambiance and top-notch service. The menu features a delightful blend of flavors, with each dish crafted to perfection. Whether you're enjoying a casual coffee or a full meal, Trezoro consistently delivers outstanding quality and taste. Highly recommended!",,,,,,,,,
1,"Just a decent facade with fancy looks but serves subpar microwaved food, quite disappointed with the actual food. Great staff and service though",,,,,,,,,
5,Amazing restaurant in Surat! We went for the Sunday breakfast buffet and there are so many options and the food and coffee were all excellent quality. Service was above and beyond and amazing. We were able to speak with the owner towards the end and he is very sweet and you can tell he is committed to bringing a good experience and food for everyone. It’s nice to see more unique options available in Surat now.,,,,,,,,,
5,"The dinner we had here was fantastic. So many unique dishes, drinks and desserts. My wife and I loved the lamb, kombucha, Nutella eclair and so much more. Would love to come again and try some more.",,,,,,,,,
5,Beautiful ambience.. Good food.. Good place for friends get together,,,,,,,,,
5,Had no ketchup which is the best thing a food loving person can hear. Food made to perfection. Do try the spinach croissant sandwich.,,,,,,,,,
5,"The Food, The ambience, The Service. Truly a must visit we tried Taco, authentic Pasta .just loved it",,,,,,,,,
3,"Ambience and Vibe is pretty vintage.
We kinda liked the sunset rigatoni pasta.",,,,,,,,,
5,"One of the best places to go in Surat! Always delighted with whatever I order, and potentially the best coffee in the city.",,,,,,,,,
4,Excellent service by Bobby! Really enjoyed our meal here.,,,,,,,,,
5,Good for Photo's click..  But food not delicious 😕.,,,,,,,,,
5,The experience is wonderful. And all the food is very very good,,,,,,,,,
5,"Very nice food Ambiance also nice
Very authenthic taste
Price wise little high side but taste really noce",,,,,,,,,
5,"Amazing ambience, food
Food is 10/10
Loved it",,,,,,,,,
5,"amazing ambience, very cooperative staff, one of the best neopolitan pizzas I've had in surat.",,,,,,,,,
5,"I had a great experience at Trezoro!
Firstly the  menu is not the regular run of the mill menu.  The food was excellent!  i went there with a group of friends and so we were able to try out several items on the menu, and everything was cooked with a lot of thought and the end result was fantastic in both presentation and taste!
The ambiance was perfect. The decor of the restaurant is very tastefully done and the setting is awesome- Great for a date or if you want to spend that special occasion with your family or friends
The service was wonderful. Our waiter was so attentive and accommodating..
Overall, this was an incredible dining experience.",,,,,,,,,
5,Food Was Authentic and pure Continental dishes .Stupendous Service by Kartik,,,,,,,,,
5,"I recently had the pleasure of dining at Trezoro, and I must say, it was an outstanding experience from start to finish! The food was delicious and thoughtfully prepared. Every dish was bursting with flavor, and you can tell the ingredients were of the highest quality.

The ambiance is warm and inviting, making it a perfect spot for both intimate dinners.The staff were incredibly attentive and made sure we had everything we needed without being intrusive.

Overall, Trezoro has set a high standard for dining, and I can’t wait to return. Highly recommend to anyone looking for a memorable dining experience!",,,,,,,,,
3,"Service is very slow.
Food portion is very small, comparatively very expensive place. Lots of better option at this cost.
Person who was taking our order was not appealing as all. Not many knowledge about dishes and was not friendly. My wife was like, it was not a good choice to visit for our anniversary. Feeling of visiting premium place but hospitality not make it up.",,,,,,,,,
2,Food is average as compared to price (very expensive as compared to quality) We tried farmhouse pizza in which the pizza base was burnt and taste below average. The pesto spagetti pasta and dessert lotus Biscoffi eclair were really tasty. Most of the dishes listed in the menu was unavailable. The service was bit slow as no one was available for attending and no one really bothered whether we liked food or not. Good for one time visit only.,,,,,,,,,
