rating,review
3,"This is Bar and Restaurant in CBD belapur.  Good service and food is also good,  evening many people visit this hotel for drinks and food,  parking on Street. Reasonable rates near vivekanand nagar bus stop in c b d belapur. There is Axis Bank 🏧 besides this restaurant. Good for friends👭👬👫 only no family."
3,"Good place small place to enjoy a few drinks with a group of friends. Plus for sports fans. Plus for women as well. I saw women coming here and comfortably getting a drink too. When we were there, the staff was overwhelmed serving 6 tables but that's alright.

Chicken lollipop hit the spot for me :)"
5,"Good service with ambience.
Staff is very polite and prompt.
Try veg spring rolls and chicken chilly and chicken fried rice.
Good discounts on drinks at happy hours."
5,Its a small lounge with plenty of drinks option. They allow smoking inside the lounge which is big down side. Not suitable for family. They offer 20 percentage discount between 11 am to 6 pm on total bill.
5,This is my go to place to hang out and drink beer with my friends. The food is also super good and clean. And the price is really reasonable. The cherry on the top is the 24x7 1+1 draught beer offers this place has.
4,"Went to meet my school. Friends and was searching for a good place where we can. Have some time together.

Choose J9 sports bar just on the base of review...

To be candid... The place is bit Cramped.. With full house it will become claustrophobic.

Food was ok ok... Ordered hara bhara kabab.. It was bit oily..

Spent around 2000 for just 3 beers, 2 lime soda and harabhara kabab with masala papad.

Overall nice. Place for having a quick meeting and 1 time go."
5,"I don't really know about Manohar Mishthan, but these cuties definitely make the place worth going back to again and again. Also if you're reading this review, MAKE SURE YOU FEED THEM!!"
1,"I recently ordered samosas from this place, and it was a thoroughly disappointing experience. The samosas were overly spicy, and worse, some of us suffered from stomachaches while others had diarrhea. Both the samosas and the chutney had an unpleasant smell, and the overall quality was extremely poor.  This shop used to be a favorite during my childhood—we often bought snacks here as we’re from Belapur. Sadly, the quality and taste have deteriorated significantly over the years. I cannot recommend this place anymore."
3,Fresh sweets. Store representatives are very polite in their approach. Smooth payments. Snacks counter is good.
5,Very tasty and quality food is served here.  All the sweets and snacks items are available.  Arrangement of items are very neat and clean so that its visible.  Rates are competitive. Shop is spacious and have variety of options.
5,"Manohar Mishthan is the place to satisfy your sweet tooth! Their sweets are absolutely amazing, and you won't be able to resist their delectable treats. From traditional Indian sweets to mouthwatering desserts, they have it all. Don't miss out on this sweet paradise! 🍭🍰🍨"
5,"If you’re looking for a spot that serves a blend of global flavours with an ambient poolside setting, Pool Side Restaurant delivers on both taste and vibe.
Enjoyed refreshing cocktails

1. Arabian Platter:
A true showstopper! This platter was a generous spread of falafels, hummus, pita, grilled kebabs, and pickled veggies. Each bite was packed with Middle Eastern flavor, and the creamy hummus paired perfectly with the warm, fluffy pita.

2. Exotic Chipotle Veg Pizza:
Crisp thin crust, loaded with vibrant veggies and a smoky chipotle base that added a bold kick. It’s a great choice for spice lovers who want something different from the usual margherita.

3. Honey Chilli Lotus Stem:
Crunchy, sticky, and slightly spicy – this dish nailed the texture and balance of sweet and heat. It makes for a fantastic appetizer, especially if you’re sipping cocktails by the pool.

4. Drunken Fish and Chips:
A fun twist on the classic British dish! The beer-battered fish was crisp on the outside and juicy inside, served with perfectly golden fries and a tangy tartar sauce. Comfort food with flair.

5. Poulet Supreme Sizzler:
Served sizzling hot, the chicken was tender and flavorful with a rich sauce that paired well with grilled veggies.It’s hearty, satisfying, and makes a dramatic entrance to the table!

Ambience:
The poolside setting adds a relaxed yet elegant touch – great for brunches, date nights, or laid-back evening dinners.

Verdict:
Creative menu, great plating, and a refreshing ambience. Highly recommended if you’re in the mood for diverse flavors in a chic, open-air space."
4,"We went for a casual dinner on a Saturday night as the place seemed pleasant and had open air dining by the pool. There were other families and music playing. The continental food was good like the pasta and pizzas, the sizzlers were good but quantity was pretty less. Overall a good experience."
3,"The place and ambience is superb.

The food was however ,a super letdown.

Banjara kebab which we ordered was ko
too spicy.Chicken cafreal sizzler was too  bland and dry.We even tried informing the chef about the sizzler,but he was adamant that this is how the sizzler tastes."
3,"We ordered a mix of Indian and Lebanese cuisine. The Chicken Banjara Tikka and Prawn Chilli were well-prepared and flavorful, while the Arabian platter fell short in terms of taste. However, the overall ambiance of the restaurant was pleasant and added to the dining experience."
1,"Food quality and cooking temp was not upto mark we were served hard chewy undercooked prawns which were frozen prawns and they didn't thaw or defrost them properly before cooking. Over all their kitchen is bugged with this issue for all cuisines even paneer tikka was not soft and felt undercooked. The most tasty dish they served us was ""Onion Plate and butter naan"" 😇 Their veg starters tasted good but service was not good even when place was half empty on sunday. They have dj music on sundays so its not quiet or pleasant by any means."
5,
5,
2,
4,
3,
4,"If you want a great ambiance and want a buffet this might be the place for you. The buffet is a little on the expensive side costing 1600/- pp. The starters were a little bit bland as per me, not much spices or flavour is involved. The best part of the buffet is the desert, mouth watering and tasty cakes and other sweets. You can enjoy with your friends and family with indoor and outdoor seating as well."
5,"Great place with a cozy vibe 🥰
Amazing place to have buffet with your loved ones 😍
They have South Indian, North Indian, English breakfast, fruits, fruit juices, salads, tea coffee, and desserts 😋
The food was great but not awesome. The sambar and chutney could be a little better.
The masala omelette with mushrooms and bell peppers were really good 😋
And ya they have a outdoor seating area which is so classy 😎
I highly recommend visiting this place if you are in Navi Mumbai ☺️"
5,"The restaurant has a good mix of South Indian and continental options in the breakfast buffet. The pasteries, cupcakes, salads, main course and desserts are very delightful. A lovely ambience especially by the poolside. We stayed at the hotel too and has a very good time."
4,"Good food. Ambience is good for families.
The buffet spread is adequate although they can have more Dessert options. The service was quite good. Tends to get noisy if there's any wedding/functions happening within the hotel premises.  Was informed that there is no in-house bakery hence we cannot have cakes ordered for any celebrations but are allowed to bring from outside."
3,"We have tried pasta, biriyani and pizza.
Pasta was good.
Biriyani is average.
Chipotle pizza was not good, we end up leaving.

Food taste is average compare to price.
Buffet is available with good options."
4,"Wow bhaji is just a min away from Belapur station,

The place from outside it self looks pretty pleasant & gentle. Well maintained ambiance & has a cassette ac which cools the place all over instead of splits chilling a certain area.

Wow bhaji is managed by a hearty old lady who is happy to serve her valuable customers.

Tried their Wow Bhaji and trust me I never had tasted such tempting Pav bhaji in my whole life. The pav bhaji is of black colour as they don't add any artificial colour, the pav were juicy full of loaded butter in it. All the big heads of Pav bhaji in South should learn from them how to make pav bhaji alike them.

Double wow pav :- Personally I didn't like it at all. The server suggested me to go for it as it was their specialty. the dish definitely needs some work, there was huge amount of Garam masala in it. I Could hardly taste the pav. But yes the pav bhaji just nailed it."
4,Decent Ambience with unbeatable Cheese Chilly Toast served is its unique. Also one of favourite i am frequent visitor of this place. Sandwitches too are good to try. Though its famous for its Unique Pav Bhaji but i would prefer Cheese Chilly Toast over it. I atleast visit once in a week. Service is prompt and polite.
5,"Interesting and Tasty Food Menu!!
Something unique!! Not regularly Fast-Food!!
Do try:
White Rose Milk Shake
Masala Pav (Different Recipe)
And ofcourse Wow Bhaji!!"
4,"Simply goes by the name.... WoW Pav WoW Bhaji
Must visit for a quick lunch/dinner"
4,"Delicious pavbhaji with no added color.. Wow pav (masala pav) is good too.. Prompt service, hygiene is an add on."
3,"The place is good and seen it 3 times renovating itself. The place is purely vegetarian with thali and a la carte options available. The food is at tastier side and cheaper on pockets. The place is easily visible being on the main road. Even in such a small setup, they maintain professionalism and did accepted Sodexo coupons up till my last visit there. On and all, a better place if you don't like sitting outside in the khau galli and want some privacy sort of thing with neat setup."
5,A good and affordable vegetarian place to eat. Different varieties of parathas are available. Max 100 per person. Tasty food and cleanliness are the main highlights..
5,Very good food at low price. Quality is like three/five star hotel
4,"Good, neat and clean place to have food. Vada misal pav, Parathas and chole bature are good there"
3,"The best place in Fisherman Kitchen
The best dice is daal thadka and butter chapati and veg dum biryani Pelees kam in the hotel and try"
5,"Visited this place for dinner. Ordered Tawa fry surmai thali with rice bakri (tandalachi bakri), sol kadhi and Prawns koilwada.

The portion size for prawns koilwada was a feast. The prawns had a very crispy layer from the outside and soft within and rich in flavour. The thali was amazing in taste. The bakri was very soft and complemented the surmai very well. Sol kadhi was refreshing.

Restaurant had a good ambience and service was also good. Overall experience was very good👍."
1,"We were a group of four who visited Krishna Hotel for a meal. Unfortunately, it turned out to be a terrible experience. After eating there, all of us ended up with upset stomachs. The food quality was clearly not up to the mark, and hygiene seemed very questionable.
I strongly advise others to avoid this place if you care about your health. Totally disappointed!"
5,"I’d say it’s a great option for those looking for good food on a budget. The taste was quite nice, and the pricing makes it even more appealing. However, the ambiance wasn’t the best—nothing too fancy, but decent enough for a casual meal. If you’re someone who prioritizes food quality over decor, this place is worth considering!"
5,"Excellent Food and service. I was looking restaurant to have Lunch and unknowingly visited this place. I was really amazed by the food I had ordered Chicken Tandoori lollipop and Chicken Tandoori Masala with Butter Naan. The taste was really amazing chicken was cooked well. Tender and juicy.

Recommended dish: Chicken Tandoori Lollipop"
1,HI Everyone I have ordered paneer kofta from Krishna lunch home but I didn't saw any paneer in that veg only masala given and also ordered tandoori roti but that also not properly made so I request you to all don't order any food from Krishna lunch home and also don't visit making fool to customer's
1,Not available
5,never
4,"A small calm cafe and co-working space in walkable distance from Belapur railway station and metro station. Great Ambience and amazing food. Warm service too. Tried flavoured latte and chicken bonanza pizza. Latte was usual but pizza was worth every penny.
Being a co-working space, the chairs weren't very comfortable for sitting down for a long time.
Free wifi and outdoor seating is available. Smoking allowed at outdoor seating."
5,"Chocolate Frappe : That was from another World, Teste was very different

Mango Mint Shake: Sweet mango with a hint of mint – a tropical and refreshing twist!

Veggie Lover Pizza: Fresh veggies on a perfectly baked crust with creamy cheese. A burst of flavors in every bite!

Friendly Staff: Super welcoming and attentive, making your visit even better!"
5,The Ambience is Really great.The Staff is very friendly and specially the beverages are amazing.Loved it totally
5,"Chaai Centre & Co - Working Space is the always one of my go to Place for having Classic Coffee and some Fabulous Continental Food. Ample of Variety on Beverage Menu and a Gigantic Food Menu makes this the Best hangout Cafe in the Vicinity. The Ambience itself makes every Patron comfortable and enjoy their quality time. This place is beautifully designed and managed by the team lead by Mr. Irfan, who has been running the show for over 8+ years. Being regular at this place for quite a long time, the service received here is enjoyable and comfortable. Definitely a must visit with your family and Colleagues and spend time at this Luxurious and Friendly Cafe"
5,"Chai Centre is a great place! As soon as you step inside, you are greeted with a warm and inviting ambiance. The comfortable seating area and attractive décor create the perfect setting for a relaxing and enjoyable dining experience.

Now, let’s talk about the food! The milkshakes at Chai Centre Café are simply heavenly. They are thick, creamy, and full of flavor. Whether you are a fan of classic flavors like chocolate and vanilla or prefer something more adventurous like strawberry or Oreo, they have it all. Every sip tastes like heaven.

Now talking about the pasta, it is a must try! The pasta dishes are cooked to perfection, with a variety of sauces to choose from. Whether you like creamy Alfredo or spicy marinara, you won’t be disappointed. The portions are generous, and the flavors are just perfect.

Now, let’s talk about the mango crepes and pancakes. These sweet delicacies are really delicious. The crepes are thin and delicate, filled with fresh mango pieces and topped with a few drops of honey. Speaking of the pancakes, they are fluffy and light, served with whipped cream and maple syrup. These dishes are perfect to satisfy your sweet cravings.

And don’t forget the cold chocolate latte! It is a refreshing and delicious drink that combines the richness of chocolate with the smoothness of a latte. It is the perfect pick-me-up on a hot summer day or whenever you need a delicious drink.

Overall, Chai Centre Café is a foodie’s paradise. The menu offers a wide variety of options, ensuring that there is something to satisfy every desire. The quality of the food is exceptional, and the presentation is top notch. The staff is friendly and attentive, ensuring that your dining experience is nothing short of spectacular.

I highly recommend visiting Chai Centre Café. It is a hidden gem that will leave you craving for more. Trust me, you won't be disappointed! 🍨🍝🥞🥤😊"
5,"One of the best bar in Belapur
Complimentary always changes every day with new new dishes"
4,"Good food great taste and quantiy

Veg Kanali recommended.
Over all good experince
***Beware to cross check bill before making payment**"
4,"Good service, food items reasonable price"
5,We visited this place last night. We enjoyed food with Live Match. Seafood was awesome.
1,"Worst food, i order apple chicken fully bad taste and lollipop is full of cornstarch only, waste of money totally"
1,"We had a disappointing experience at CCD. When placing our order, we were told that all coffees would be “strong” (compulsory), which we accepted. However, after making the payment, we were not given a bill.

When we tried to check the excess amount charged beyond the listed coffee rates and taxes, the staff delayed providing the bill. Even after finishing our coffees (around 40–45 minutes later), we had to wait another 5+ minutes just to get the bill—meaning it wasn’t even generated for nearly 50 minutes.

Upon reviewing the bill, we discovered they had charged extra for double-shot espresso in each coffee, despite initially telling us that it was already included (compulsory).

This kind of misleading billing and poor service left a very bad impression. Definitely not visiting this café again.

Point to add we mailed Customer care and received the call from the cafe same counter person was on the call and she was confronting me. This is what they provide as solution. She wasted my time again."
5,"A decent place to do some work meanwhile enjoying your coffee with some snacks
They offer free wifi, clean washroom
The service is good ,the staff is very humble"
5,"This CCD outlet has really nice chill vibes. Went on a Friday evening-  had decent crowd. The seating options are both indoor and outdoor with indoor having a group table with small tables too.
Great place to work in solitude, meeting or catch-up with friends.
They have a power Bank outlet station.
Coming to the food, I personally liked it.
🔸 Iced mocha: 5/5 - light with a decent caffeine kick
🔸Hot velvet coffee: 5+/5 - rich decadent
🔸Cheese tomato croissant : 4/5, the croissant was flaky itself, just wish it didn't have the mayo part and maybe a pinch of blackpepper but otherwise I liked it.
🔸 Chocolate Croissant: 5+/5 simply delicious
🔸Chilli cheese toast : 3/5, the topping was good but the quantity and quality of the bread could have been better. (Given the fact their Croissants are great)
🔸Big Chicken Burger : 2.5/5. Not so great. Came with a side of chips(which were nice) & dip. Wouldn't recommend the burger.
The staff is polite with promt service.
Well maintained hygiene.
Overall loved this visit at the CCD Belapur outlet. We came with well fed tummies & a decent caffeine kick to enter the weekend !!
Looking forward to try more stuff on their menu."
1,They have sort of different menu they force you to order speciality coffee and hide the normal menu .a cappuchino in the speciality menu comes by default with double shot espresso which is toomuch caffeine for some .last week they did have the normal menu card which had the smaller cappuccino with single shot espresso but this week they have stopped showing that menue and only speciality menu is present which has minimum 350ml mugs that's too much coffee .I think they want to increase spending from per person instead should have focused on brand policies.
3,"The place is perfect, campus is good.
One thing I notice that they dont have charging points only on the walls. They have big table in the middle which dont have any charging plugs.
Overall I see the CCD has charging mostly for the time which you spend in the shop. The quality and taste of coffee could be better."
5,"Absolutely Marvelous! Very neat, clean & tidy. They were very understanding and served Mango milk shake for my 7 year old son without any ice. He thoroughly enjoyed it. I had a delicious cold coffee and it gave me the much needed wake up call at noon."
5,"A must try place for all veg lovers in navi mumbai located near the seawoods station😍Must try:-
1)Babycorn chili-the taste is superb a must try starter.If you enjoy great food definately order this you won't regret💯
2)Veg Rajdhani for maincourse with garlic naan which was best in class taste.Loved the ambience and overall a good place for family time😍.Explore this place and do visit for sure."
3,"Misal pav was okay, it wasnt spicy or had any unique flavours. Might go back to try other things from there"
3,"Overall ok to good - 3.5 star
Nice ambience.
The dress code is not followed by all staffs, which became little difficult for us.
We ordered :-
Special Prithika Biryani - it was good nothing special — 4 stars
Veg Rajdhani - it was Ok curry —3 stars Butter Kulcha — it was served quite well with curd and tasted good - 4.5 star
Butter Garlic Naan - it was again good - 4.5"
5,"I had the pleasure of visiting this restaurant for the first time today, and it was an unforgettable experience! The dosa was absolutely delicious – perfectly crisp with just the right amount of filling. The sambar and chutneys were authentic and full of flavor, reminding me of home-cooked meals. The staff was incredibly warm and welcoming, making the entire experience even better. This is undoubtedly one of the best vegetarian restaurants I've been to, and I can't wait to visit again. Highly recommend it to everyone."
4,"We had an exceptional dining experience at Barbeque Nation CBD Belapur. The food was not only delectable but also prepared and served with utmost hygiene. The vast array of culinary options was truly impressive, catering to diverse palates.

The service staff were extremely courteous, attentive, and supportive, ensuring that our every need was met. We were delighted to share this experience with our foreign guests, who were equally impressed by the flavors and hospitality.

Kudos to Barbeque Nation CBD Belapur for creating a memorable evening! We look forward to visiting again soon.""

I made some changes to enhance clarity, vocabulary, and overall flow. Feel free to modify it further to suit your tone and style!"
1,"Staff not entertain properly we're 17 people over there we paid to them more than 20 thousand, and we get service not much , food was uncooked and after the complaining staff was not entertain us , we have to ask for one order for multiple times then they served. not happy with the service. Our weekend goes worst."
3,The quality of Starters was pathetic except few. Main course is better than Starters.  They deliberately bring Starters which cost less. The Desserts are pathetic
5,The staffs were so polite and well mannered.. The food tasted delicious and the ambience was so nice.. Little more items are required in the dessert section especially icecreams.. Overall i had a good experience!!
5,"Recently visited Barbeque Nation Belapur. The atmosphere, ambience, food and service everything was excellent. One thing I would suggest is to increase the food options in main course. Rest everything was good. The grilled fish was amazing and the mushroom as well. Loved it."
1,The red velvet pastry was too hard it was not like how a pastry should be soft and not even it had a good taste they have kept expire product i guess because of that your pastry was tasteless and hard. My whole mood got spoiled because of it i was too excited to eat pastry after long time and this is what i got worst ever not gonna buy anything from monginis rather i would go to cake world beside it. Not worth it to 80 rs.
4,"A lot of varieties of yummy cakes to be chosen from. Many of their displayed cakes are heart shaped which is a disadvantage. Can pre order cake as our requirement. The cakes are yummy and worth the money.They serve snacks also to walk in customers , however there is no seats to sit and that it. People can stand inside and have a quick bite."
1,"Today we bought the 01 kg cake for birthday celebration from the monginis cake shop in CBD Belapur, it is a completely tasteless and stale cake, so I recommend everyone not buy cakes for any celebration from Monginis shop.  Very bad experience"
5,"I recently had the pleasure of visiting the Monginis cake shop and I must say, it was an exceptional experience! The moment I walked in, I was greeted with a warm smile by the staff and the aroma of freshly baked cakes. The shop was clean and well-maintained, which is a big plus in my book.

I ordered a custom  Dutch-Chocolate cake for a special occasion and the team at Monginis went above and beyond to ensure that it was perfect. The cake was not only delicious but also beautifully designed. The attention to detail and the quality of the ingredients used were evident in every bite.

What impressed me the most was the excellent customer service. The staff were friendly, helpful, and patient, answering all my questions and accommodating my requests. They truly cared about making sure I was satisfied with my purchase.

I would highly recommend Monginis cake shop to anyone looking for a great cake and an even better experience. They truly deserve 5 stars."
4,Loved over taste good variety and decent price!
4,"Very nice services. I had organized a banquet party for almost 600 people in my son's marriage, his catering service is fantastic.Foods and sweets were very tasty and especially paneer angara and kaju katri  was wow! Kameshwar Maharaj ji behaves much better.
They gives great services at very reasonable price.
Yeah overall experience was nice.
I would recommend you go for it👍."
1,"High rate of all Chinese food
Thali was good but I don't Y Dal in chicken thali"
4,This place is usually crowded with VPHB students
5,this hotel is very beautiful palace
5,Great taste
4,"Not many varieties than compared to other outlets but the taste overall is superb. Not to forget the Cream Chomchom and Baked Rasogulla which contains palm jaggery. For all the sweet lovers, this place is heaven😇 Bengali sweets at its best!!😍🤤"
4,"Sweet Bengal is famous for the taste and quality of their sweets. I have tried Kheer Kodom, Black currant Kalakand, Rasgulla, Chitrakut, Rosokodom from this place and they tasted awesome!!!"
3,"They serve authentic Bengal Sweets and snacks. Although they keep fresh items but bit overpriced. e.g Rasagolla 1 pc = 24, Malai Roll 1pc=Rs40 etc."
4,"If you looking for good quality sweets, especially bengali sweets, then this is your place. The taste is really awesome but the prices are a bit high. Hoping they'll do something about it."
4,The sweets are good. Must try items are ice cream Sandesh and jol bhora.
4,"I recently had the pleasure of dining at this charming establishment, and I must say, it exceeded my expectations in every way. From the moment I stepped inside, I was enveloped in a warm and cozy atmosphere that immediately put me at ease.

The food was exceptional, with a diverse menu that catered to a range of tastes and dietary preferences. Each dish was expertly prepared, presented, and bursting with flavor. I was thoroughly impressed by the quality and care that went into each culinary creation.

But what truly sets this place apart is the outstanding service. The staff were attentive, friendly, and remarkably efficient, ensuring that our meal was served promptly and with a smile. The service was genuinely faultless, and I appreciated the extra touches that made our dining experience feel special.

Overall, I highly recommend this lovely establishment for a relaxing lunch or any occasion. Its winning combination of delicious food, impeccable service, and cozy ambiance makes it an ideal spot to unwind and enjoy a great meal.

Highlights:

- Cozy and inviting atmosphere
- Excellent food quality and presentation
- Faultless and friendly service
- Ideal for a relaxing lunch or casual dining experience"
4,"One of the best Sea food restaurants in Belapur. Very popular. They have multiple sections - family, AC, non AC, smoking, non smoking etc. The service was quick. Ordered Surmai Masala Fry, Neer Dosa and solkadi. All tasted really good. Price was slightly on the higher side. The owner Mr. Mahesh is seen sitting here monitoring operations. A must visit place, would surely recommend."
4,"Review on hosting an event with Mahesh Lunch Home and Bar banquet halls

I had the pleasure of hosting my Roce ceremony at  the banquet hall of Mahesh Lunch Home and bar, and it was an unforgettable experience. Their all-inclusive service provided seamless execution, from decorations to DJ, tailored to our specific needs. The food buffet was exceptional, featuring authentic Mangalorean cuisine that delighted our guests. The booking process was effortless, and the entire team, led by Ramesh Shetty and Manager Raj, went above and beyond to ensure a flawless event. I highly recommend Mahesh Lunch Home for any occasion and look forward to working with them again in the future."
5,"I have Organised my baby shower function here and it was very good experience.
Banquet Hall is having good capacity I have invited over 120 people and it was ease to manage them because hall provide separate dining area as well.
Hall having monopoly in decoration and food so you have no option other than choosing their services.
Quality of food is very nice. I would say that will be highlighting factor.
Decoration cost is higher side and I feel it was costly.
I will highly recommend this place if you want to arrange small function with capacity of around 100-120 people."
1,"The food quality was the worst, Behaviour of man who took order was not attentive, didn't explain much about dishes ."
4,"I visited the MacD in Belapur recently and had a mixed experience. The food was delicious and up to the usual MacD standards. However, there were a few issues that prevented me from having a completely satisfying experience.

The AC was not working, which made the dining area feel warm and uncomfortable. The restaurant was also a bit crowded, which added to the discomfort.

The washroom was not clean, which was a major letdown. I expect a clean and hygienic washroom from a reputable brand like MacD.

Additionally, the parking space was limited, which made it difficult for me to find a spot.

Finally, I was surprised that they didn't provide tissue paper in the restaurant. This seemed like a small but significant oversight.

Overall, while the food was good, the experience was marred by these issues. I hope MacD takes steps to address these problems and provides a better experience for its customers."
1,"Despite telling the attendent several times and even returning the burger once they still couldn't care enough to add a decent amount of sauce, the burger was dry as ever. Come on man your charging extra only for a mayo change with the new korians spicy chicken burger and you can't even add a decent amount of sauce, pothetic absolutely pothetic. Service has fallen below acceptable standards. Pothetic"
3,"While a typical McDonald’s and nothing to write specific to food quality, but the upkeep of the restaurant is very poor, tables are often not clean, flies around. Washrooms were dirty as well. Remains crowded and service is slower than usual than other outlets, they could hire more efficient staff and keep the place more hygienic."
5,"Clean and well-maintained outlet with plenty of seating. The staff is friendly and supportive, ensuring a smooth experience. Wait times are usually around 5–10 minutes, which is quite reasonable. Overall, a good spot for a quick meal."
4,"Its like all other MCD, its right opposite to decathlon,its an easy accessible spot to munch.
The location is great however parking is an issue."
5,"I recently visited Burger King in Belapur and was thoroughly impressed! The service was top-notch, with professional staff who were friendly and attentive.

The restaurant was extremely neat and clean, making for a pleasant dining experience. What really stood out was the birthday decorations they provided for our celebration - it was a lovely touch!

Unlike other fast-food joints, Burger King Belapur was surprisingly less crowded, which made our visit even more enjoyable.

If I had to choose between McDonald's and Burger King, I'd choose Burger King hands down! The quality of food, service, and ambiance here is unmatched.

Keep up the fantastic work, Burger King"
5,"Amazing amazing burger.... In love with wopper. I cant say how goor this burger is. Was initially a fan of macd's burgers but now i am fan of burger king. The shakes are super thick and creamy..and one of my favourite chicken bone-less wings was super yummy and crispy as well.. , to perfection...... thanks for your quality food and best service to me.."
5,"It's a popular fast-food chain known for its burgers and other fast-food items.Variety: The menu offers a wide variety of burgers, sides like fries, and beverages, catering to different tastes and preferences.

Service: Reviews on service tend to vary. Some customers have positive experiences with efficient service, while others mention occasional delays during peak hours.

Ambiance: Burger King outlets in Mumbai generally offer a casual dining experience with clean and comfortable seating arrangements.

Value for Money: It's often considered reasonably priced for the quality and quantity of food offered, making it a popular choice among budget-conscious diners."
5,"It is nice place to have food with friends.
I have ordered various types of whopper
1. Chicken cheese whopper
2. Chicken Arabic whopper
3. Mutton cheese whooper
4. Jr. Chicken cheese whopper
5. Boneless wings
6. Fries and Pepsi
The taste was very good. The staff here is also good and helpful.
They have enough seating arrangement.
It opens till late night so you can enjoy your food.
The staff is also cooperative and guide you what is best."
4,"We recently ordered Burger King Grill Burger , Crispy Chicken Burger and Chicken Double Whopper.

The taste of burger was good and flavourful while the size could have been bit bigger.

The Chicken Double Whopper had two chicken patty with all veggies and mayonnaise. The size and taste was pretty good.

Would recommend Whopper if too hungry otherwise you can go for Burger .
__
Follow @we.eat.everything.delicious on Instagram and We Eat Everything Delicious on Zomato."
5,"Yesterday night, we visited The Vintage Cafe. It is a quaint and charming cafe located in the heart of Belapur. The restaurant has cozy and relaxed atmosphere, with vintage decor and soft lighting creating a warm and inviting ambiance.

The food at The Vintage Cafe was simply delicious, with a variety of dishes to choose from, including both Indian and continental options. The portions are generous, and the presentation was also beautiful, making the dining experience all the more enjoyable.

The staff was friendly and attentive staff. They're knowledgeable about the menu and offer good recommendations based on your preferences.

The cafe is also quite affordable, considering the quality of the food and service. It's a great place to catch up with friends, have a business meeting, or simply relax and unwind on your own.

We tried chicken popcorn, chicken wings, falafal pockets with chicken and chicken crispy. Food was nice and perfectly cooked. Drinks were nice as well.

Overall, The Vintage Cafe is a must-visit for anyone looking for a great dining experience in Belapur. The combination of delicious food, excellent service, and cozy ambiance makes it a standout choice among other cafes in the area. Highly recommended!"
5,A unique place with vintage vibes. The place is a bit pricey but the price is worth for. The vibes are very classy and calm. Tried their asian and chinese cuisines in veg and nonveg. Tastes flavourful and yum. Definitely gonna visit again in future.
